name,screen_name,female,age,term,party,government,constituency,region,country,constituency_type,electorate,turnout,majority
Chris Skidmore,CSkidmoreUK,0,40,4,Conservative,1,Kingswood,South West,England,Borough,68972,71.49857913,22.75215963
Chris Stephens,ChrisStephens,0,48,3,SNP,0,Glasgow South West,Scotland,Scotland,Borough,64575,57.06078204,13.29823323
Christian Matheson,ChrisM4Chester,0,53,3,Labour,0,City of Chester,North West,England,County,76057,71.73567193,11.29765396
Christian Wakeford,Christian4BuryS,0,121,1,Conservative,1,Bury South,North West,England,Borough,75152,66.89642325,0.799618093
Christina Rees,Rees4Neath,1,67,3,Labour,0,Neath,Wales,Wales,County,56419,65.14826566,15.33627163
Christine Jardine,cajardineMP,1,61,2,LibDem,0,Edinburgh West,Scotland,Scotland,Borough,72507,75.21066931,6.911411439
Christopher Chope,,0,74,10,Conservative,1,Christchurch,South West,England,County,71520,72.63842282,47.3850359
Christopher Hazzard,ChrisHazzardSF,0,37,2,SF,0,South Down,Northern Ireland,Northern Ireland,County,79175,62.8506473,3.255496162
Christopher Pincher,ChrisPincher,0,52,4,Conservative,1,Tamworth,West Midlands,England,County,71572,64.34918683,42.63071044
Claire Coutinho,ClaireCoutinho,1,121,1,Conservative,1,East Surrey,South East,England,County,83148,71.78765575,40.27475289
Claire Hanna,ClaireHanna,1,41,1,SDLP,0,Belfast South,Northern Ireland,Northern Ireland,Borough,69984,67.6611797,32.52449738
Claudia Webbe,ClaudiaWebbe,1,56,1,Independent,0,Leicester East,East Midlands,England,Borough,78433,63.01046753,12.1790332
Clive Betts,,0,71,8,Labour,0,Sheffield South East,Yorkshire and The Humber,England,Borough,67832,61.91473051,10.21239107
Clive Efford,CliveEfford,0,63,7,Labour,0,Eltham,London,England,Borough,64086,68.17245576,7.31763144
Clive Lewis,labourlewis,0,50,3,Labour,0,Norwich South,East,England,Borough,77845,66.37934357,24.69374722
Colleen Fletcher,,1,67,3,Labour,0,Coventry North East,West Midlands,England,Borough,76006,58.47433097,17.30717307
Colum Eastwood,columeastwood,0,38,1,SDLP,0,Foyle,Northern Ireland,Northern Ireland,County,74346,63.41161596,36.29305956
Conor Burns,ConorBurnsUK,0,49,4,Conservative,1,Bournemouth West,South West,England,Borough,74205,61.9594367,22.07625552
Conor McGinn,ConorMcGinn,0,37,3,Labour,0,St Helens North,North West,England,Borough,75593,62.91720133,25.67019196
Craig Mackinlay,cmackinlay,0,55,3,Conservative,1,South Thanet,South East,England,County,73223,65.9041558,21.93878608
Craig Tracey,craig4nwarks,0,47,3,Conservative,1,North Warwickshire,West Midlands,England,County,70271,65.33847533,39.10789737
Craig Whittaker,CWhittaker_MP,0,59,4,Conservative,1,Calder Valley,Yorkshire and The Humber,England,County,79287,72.89089006,9.990829339
Craig Williams,craig4monty,0,47,3,Conservative,1,Montgomeryshire,Wales,Wales,County,48997,69.82876503,35.47670544
Crispin Blunt,CrispinBlunt,0,61,7,Conservative,1,Reigate,South East,England,Borough,74242,71.59828668,34.44578223
Daisy Cooper,libdemdaisy,1,40,1,LibDem,0,St Albans,East,England,County,73727,78.1247033,10.9255369
Damian Collins,DamianCollins,0,47,4,Conservative,1,Folkestone and Hythe,South East,England,County,88272,66.84452601,36.16134226
Damian Green,DamianGreen,0,65,7,Conservative,1,Ashford,South East,England,County,89553,67.06531328,40.00899116
Damian Hinds,DamianHinds,0,52,4,Conservative,1,East Hampshire,South East,England,County,76478,74.39394336,34.61815625
Damien Moore,,0,41,2,Conservative,1,Southport,North West,England,Borough,70837,68.01530274,8.607305936
Dan Carden,DanCardenMP,0,31,2,Labour,0,"Liverpool, Walton",North West,England,Borough,62628,65.12422559,74.82959839
Dan Jarvis,DanJarvisMP,0,49,4,Labour,0,Barnsley Central,Yorkshire and The Humber,England,Borough,65277,56.5329289,9.67672005
Dan Poulter,,0,43,4,Conservative,1,Central Suffolk and North Ipswich,East,England,County,80037,70.2799955,41.584
Daniel Kawczynski,DKShrewsbury,0,49,5,Conservative,1,Shrewsbury and Atcham,West Midlands,England,County,82238,71.82202875,18.99094218
Daniel Zeichner,DanielZeichner,0,65,3,Labour,0,Cambridge,East,England,Borough,79951,67.20241148,17.94003238
Danny Kruger,danny__kruger,0,47,1,Conservative,1,Devizes,South West,England,County,73372,69.44611023,47.08756918
Darren George Henry,DarrenG_Henry,0,121,1,Conservative,1,Broxtowe,East Midlands,England,County,73052,75.66117286,9.645028224
Darren Jones,darrenpjones,0,35,2,Labour,0,Bristol North West,South West,England,Borough,76273,73.26970225,10.18520175
Dave Doogan,DaveDooganSNP,0,48,1,SNP,0,Angus,Scotland,Scotland,County,63952,67.50375281,8.790826963
David Amess,amessd_southend,0,69,10,Conservative,1,Southend West,East,England,Borough,69043,67.40292282,31.06990137
David Davis,DavidDavisMP,0,73,9,Conservative,1,Haltemprice and Howden,Yorkshire and The Humber,England,County,71083,70.02940225,40.8385062
David Duguid,david_duguid,0,51,2,Conservative,1,Banff and Buchan,Scotland,Scotland,County,66655,63.40109519,9.744439186
David Evennett,DavidEvennett,0,72,10,Conservative,1,Bexleyheath and Crayford,London,England,Borough,65466,66.0587175,30.29875595
David Johnston,david4wantage,0,40,1,Conservative,1,Wantage,South East,England,County,90867,73.92452706,18.83643726
David Jones,DavidJonesMP,0,69,5,Conservative,1,Clwyd West,Wales,Wales,County,57714,69.65900821,16.78232968
David Lammy,DavidLammy,0,49,7,Labour,0,Tottenham,London,England,Borough,75740,61.86427251,64.39943657
David Linden,DavidLinden,0,31,2,SNP,0,Glasgow East,Scotland,Scotland,Borough,67381,57.11253914,14.46352935
David Morris,davidmorrisml,0,55,4,Conservative,1,Morecambe and Lunesdale,North West,England,County,67397,67.22851165,14.02339439
David Mundell,DavidMundellDCT,0,59,5,Conservative,1,"Dumfriesshire, Clydesdale & Tweeddale",Scotland,Scotland,County,68330,71.93472852,7.692307692
David Rutley,DavidRutley,0,60,4,Conservative,1,Macclesfield,North West,England,County,76216,70.67676079,19.88415913
David Simmonds,DSimmonds_RNP,0,121,1,Conservative,1,"Ruislip, Northwood and Pinner",London,England,Borough,72816,72.65436168,30.98820505
David T. C. Davies,DavidTCDavies,0,51,5,Conservative,1,Monmouth,Wales,Wales,County,67098,74.84127694,19.87773065
David Warburton,DJWarburton,0,56,3,Conservative,1,Somerton and Frome,South West,England,County,85866,75.57822654,29.60583087
Dawn Butler,DawnButlerBrent,1,52,5,Labour,0,Brent Central,London,England,Borough,84032,58.46820259,42.4774078
Dean Russell,dean4watford,0,121,1,Conservative,1,Watford,East,England,Borough,83359,69.65654578,7.63454749
Debbie Abrahams,Debbie_abrahams,1,61,4,Labour,0,Oldham East and Saddleworth,North West,England,County,72120,64.00998336,3.247118967
Dehenna Davison,DehennaDavison,1,28,1,Conservative,1,Bishop Auckland,North East,England,County,68170,65.7253924,17.77033813
Deidre Brock,DeidreBrock,1,60,3,SNP,0,Edinburgh North and Leith,Scotland,Scotland,Borough,81336,72.96154224,21.58263683
Derek Thomas,DerekThomasUK,0,49,3,Conservative,1,St Ives,South West,England,County,68795,74.7336289,8.324742769
Derek Twigg,DerekTwiggMP,0,62,7,Labour,0,Halton,North West,England,County,71930,64.23328236,41.06876177
Desmond Swayne,DesmondSwayne,0,65,7,Conservative,1,New Forest West,South East,England,County,70869,70.98449251,48.50912416
Diana Johnson,DianaJohnsonMP,1,55,5,Labour,0,Kingston upon Hull North,Yorkshire and The Humber,England,Borough,65515,52.20636495,22.19980703
Diane Abbott,HackneyAbbott,1,68,9,Labour,0,Hackney North and Stoke Newington,London,England,Borough,92462,61.4998594,58.36381542
Dominic Raab,DominicRaab,0,47,4,Conservative,1,Esher and Walton,South East,England,Borough,81184,77.7049665,4.348170693
Douglas Chapman,DougChapmanSNP,0,66,3,SNP,0,Dunfermline and West Fife,Scotland,Scotland,County,76652,69.77247821,20.00486145
Douglas Ross,Douglas4Moray,0,38,2,Conservative,1,Moray,Scotland,Scotland,County,71035,68.73372281,1.050691244
Drew Hendry,drewhendrySNP,0,57,3,SNP,0,"Inverness, Nairn, Badenoch and Strathspey",Scotland,Scotland,County,78059,70.21611858,19.04761905
Duncan Charles Baker,duncancbaker,0,42,1,Conservative,1,North Norfolk,East,England,County,70729,71.85595725,28.32379041
Eddie Hughes,EddieHughes4WN,0,53,2,Conservative,1,Walsall North,West Midlands,England,Borough,67177,54.41743454,32.7306051
Edward Argar,,0,44,3,Conservative,1,Charnwood,East Midlands,England,County,79534,69.61173838,40.45335501
Edward Davey,EdwardJDavey,0,56,7,LibDem,0,Kingston and Surbiton,London,England,Borough,81975,74.22506862,17.23860237
Edward Leigh,EdwardLeighMP,0,71,10,Conservative,1,Gainsborough,East Midlands,England,County,76343,66.86402159,44.99275164
Edward Miliband,Ed_Miliband,0,52,5,Labour,0,Doncaster North,Yorkshire and The Humber,England,County,72362,56.24222658,5.823381984
Edward Timpson,edwardtimpson,0,48,5,Conservative,1,Eddisbury,North West,England,County,73700,71.87381275,34.81716411
Eleanor Laing,eleanor4epping,1,63,7,Conservative,1,Epping Forest,East,England,County,74304,67.65180879,44.10957269
Elizabeth Truss,trussliz,1,46,4,Conservative,1,South West Norfolk,East,England,County,78455,65.59938818,50.89768002
Ellie Reeves,elliereeves,1,121,2,Labour,0,Lewisham West and Penge,London,England,Borough,74617,69.82323063,41.34932821
Elliot Colburn,ElliotColburn,0,29,1,Conservative,1,Carshalton and Wallington,London,England,Borough,72941,67.31193705,1.281111247
Emily Thornberry,EmilyThornberry,1,61,5,Labour,0,Islington South and Finsbury,London,England,Borough,70489,67.83469761,36.23891584
Emma Hardy,EmmaHardyMP,1,41,2,Labour,0,Kingston upon Hull West and Hessle,Yorkshire and The Humber,England,Borough,60192,52.09330144,9.108304631
Emma Lewell-Buck,EmmaLewellBuck,1,43,4,Labour,0,South Shields,North East,England,Borough,62793,60.32838055,25.30225437
Esther McVey,EstherMcVey1,1,54,4,Conservative,1,Tatton,North West,England,County,69018,70.94815845,35.50758674
Fabian Hamilton,FabianLeedsNE,0,66,7,Labour,0,Leeds North East,Yorkshire and The Humber,England,Borough,70580,71.55001417,33.83960396
Fay Alicia Jones,JonesyFay,1,121,1,Conservative,1,Brecon and Radnorshire,Wales,Wales,County,55490,74.46206524,17.25840412
